Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
GIGA Aromatherapy Soap Lavender - Calming and Soothing - 50% OFF,40.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Snoe Beauty S-SKIN Naturals HIMALAYAN PINK SALT Body Soap & Scrub | water-retention,99.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
"40cm Round Mirror for Bathroom, Circle Wall Mirror Mounted Round Mirror for Wall Decor, Living Room, Bedroom",649.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
FS 180 x 180cm Bathroom Waterproof Non-transparent Shower Curtain Toilet Partition Moisture-Proof Curtain Toilet Occlusion Insu,37.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Bathroom Slippers Unisex Non Slip Thick Sole Slippers Summer Japanese Style,139.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
AMIRA Oatmeal Milk & Honey Soap 100g,109.0,BATHE & BEAUTY | oatmeal with milk and honey,150.0,0.4629100498862757,-41.0
【】 Mango Oatmeal Soap Natural Organic Handmade Cold Processed Bar Soap - Skin and Face Bath Care,190.0,Mango Oatmeal Soap Natural Organic Handmade Cold Processed Bar Soap - Skin and Face Bath Care,42.0,1.0,148.0
❂✾ Foaming Bath Bomb Bubblegum 1pc,302.0,Foaming Bath Bomb Bubblegum 1pc,120.0,0.9999999999999999,182.0
Foot Bomb: Minty Moo (Peppermint Scent),99.0,Peppermint Bath Bomb,120.0,0.4714045207910318,-21.0
UniLove Baby Bath 300ml Bottle of 1,144.0,UniLove Baby Bath 300ml Bottle of 1,144.0,1.0000000000000002,0.0
ZC- A Bonne Spa Milk Salt whitening scrub,70.0,Original A Bonne Milk Spa Body Bath Salt Original Made In Thailand,75.0,0.4193139346887673,-5.0
"Cloud Cup Storage Or Organizer For Bathroom Toothbrush Holder, Toothpaste Holder, Pen Holder and Make Up Brush Organizer and Environmental Friendly Plastic With A Simple Cloud Design To Make Your Bathroom and Room Supplies Organize",37.62,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
1 KILO BATH SALT BODY SCRUB FOR REBRANDING (SCENTED)himalayan rose matcha mint oatmeal lavender,278.0,1 KILO BATH SALT BODY SCRUB FOR REBRANDING (SCENTED)himalayan rose matcha mint oatmeal lavender,135.0,0.9999999999999999,143.0
Dr Teal's Pink Himalayan Mineral Soak with Epsom Salt & Essential Oils Restore & Replenish 3 lb,550.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Silicone Bath Shower Brush Body Scrubber Massage Brush Anne Car Accessories ( Random Color),32.67,Silicone Bath Shower Brush Body Scrubber Massage Brush Anne Car Accessories ( Random Color),33.0,0.9999999999999998,-0.3299999999999983
"Be Natural Authentic Yoko Yogurt Milk Spa Salt Scrub 100% Natural Scrub Lightening Skin, Moisturizing, Collagen, Vitamin B3, Vitamin E (Zipper Bag) 300g / 50g",29.0,YOKO Spa Milk Salt Bath With Vitamin E & B3 lightening and whitening skin (300g),39.0,0.5150262026246047,-10.0
[PROMO] Johnson's Milk+Oats Bath 500ml + FREE Lotion 200ml,274.0,Johnson's Milk+Oats Bath 500ml + FREE Lotion 200ml,274.0,0.9428090415820634,0.0
Tiny Buds Natural Rice Baby Bath,185.0,Tiny Buds Natural Rice Baby Bath,185.0,1.0000000000000002,0.0
[PROMO] Johnson's Cotton Touch Wash 200ml + FREE Messy Times Wipes 20s,204.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
AA Merchandise 2 Layer Bathroom Shower Wall Mounted Space Stainless Steel Towel Storage Hanger Shelf Holder Stand Rack with Hooks Bathroom Accessories Organizer,265.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
"No.1 Top Selling BMRS Fresh All Day EMPEROR INTIMATE WASH 150ml (For Men) Masculine Wash, Feminine Wash, Men Personal Care, Anti Fungal and Long Lasting Cooling Effect, Authentic Best Product Antibacterial Pinky Secret Feminine Wash Good For Women and Men",150.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Genuine Product yu qun Tube Top Pure Cotton Beauty Salon Bath Towel Bathrobes Moisture-wicking Clothing Cotton Toweling Women's,953.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
LUMIN 100pcs/pack Top Selling Disposable Household Clear Travel Camping Accessories Bathroom Products Hotel Shower Bathing Cap Shower Caps Hair Salon,152.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Top Grade Hotel Hand Sanitizer Bottle European Style Soap Dispenser Creative Lotion Bottle Shampoo Shower Gel an ya ping Set,277.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
